,0
0,2016-10-29 21:16:41.251507
1,2016-10-29 21:29:09.545719
2,2016-10-29 21:29:17.244048
3,2016-11-04 23:08:46.917079
4,2016-11-05 11:00:29.220251
5,2016-11-05 11:01:05.164651
6,2016-11-05 11:01:08.757641
7,2016-11-05 11:01:13.400101
8,2016-11-05 17:42:51.192965
9,2016-11-05 17:42:55.317794
10,2016-11-05 17:42:59.126893
11,2016-11-05 17:43:03.838764
12,2016-11-07 16:28:51.985393
13,2016-11-22 16:05:52.263784
14,2016-11-22 16:06:13.659480
15,2016-11-22 16:08:23.372373
0,2016-11-25 12:01:15.613505
